12.126,12.117,12.182,12.246,12.246,12.182,12.117,12.126,12.284,12.209,11.94,11.585,11.459,11.171,10.89,10.383,9.791,9.346,9.407,9.343,8.632,7.987,8.076,8.411,8.215,7.84,7.668,7.623,7.227,6.815,6.463,6.39,6.632,7.052,6.924,6.408,6.252,6.565,6.67,6.499,6.455,6.658,6.72,6.533,6.496,6.764,7.017,7.095,7.049,6.888,6.884,7.116,7.668,8.377,9.24,10.273,11.077,11.626,11.674,11.555,11.128,10.017,8.939,8.592,8.998,9.023,8.781,8.45,8.208,7.848,7.574,7.325,7.263,7.082,6.854,6.619,6.521,6.478,6.561,6.473,6.103,5.874,6.048,6.413,6.698,6.93,7.116,7.229,7.368,7.412,7.245,7.01,6.945,6.976,6.563,6.1,6.245,6.819,6.784,6.275,6.195,6.611,6.667,6.308,6.308,6.667,6.611,6.195
12.399,12.437,12.478,12.533,12.533,12.478,12.437,12.399,12.465,12.232,11.801,11.397,11.386,11.258,11.101,10.581,9.789,9.17,9.247,9.268,8.615,7.964,7.927,8.147,8.026,7.776,7.549,7.37,6.97,6.627,6.272,6.162,6.444,6.948,6.882,6.38,6.203,6.472,6.564,6.428,6.379,6.522,6.569,6.446,6.45,6.695,6.906,6.939,6.914,6.874,6.96,7.119,7.636,8.56,9.587,10.405,10.916,11.552,11.81,11.511,10.772,9.683,8.831,8.547,8.892,8.936,8.763,8.473,8.224,7.796,7.422,7.148,7.157,7.055,6.872,6.608,6.412,6.273,6.316,6.26,5.997,5.854,6.002,6.335,6.671,6.958,7.134,7.208,7.332,7.38,7.25,7.054,6.984,6.977,6.506,6.0,6.194,6.865,6.809,6.187,6.156,6.756,6.926,6.541,6.541,6.926,6.756,6.156
12.763,12.845,12.772,12.763,12.763,12.772,12.845,12.763,12.619,12.266,11.926,11.5,11.284,10.987,10.785,10.427,10.024,9.596,9.34,9.066,8.682,8.317,8.026,7.877,7.795,7.741,7.415,7.046,6.69,6.515,6.227,6.087,6.275,6.688,6.841,6.724,6.624,6.62,6.543,6.451,6.398,6.452,6.513,6.556,6.626,6.724,6.808,6.841,6.905,6.997,7.201,7.429,7.88,8.553,9.339,10.121,10.751,11.528,11.895,11.554,10.702,9.705,9.01,8.626,8.731,8.723,8.675,8.469,8.232,7.792,7.387,7.096,7.12,7.035,6.853,6.621,6.509,6.339,6.178,6.015,5.892,5.91,6.067,6.363,6.695,6.983,7.155,7.213,7.287,7.302,7.221,7.112,7.082,7.073,6.652,6.183,6.243,6.702,6.591,6.075,6.007,6.448,6.681,6.579,6.579,6.681,6.448,6.007
12.965,13.072,12.935,12.889,12.889,12.935,13.072,12.965,12.702,12.277,11.989,11.549,11.215,10.824,10.598,10.335,10.15,9.829,9.383,8.942,8.712,8.511,8.074,7.712,7.654,7.713,7.331,6.85,6.52,6.442,6.19,6.033,6.169,6.533,6.81,6.914,6.856,6.698,6.522,6.456,6.403,6.404,6.471,6.612,6.719,6.733,6.744,6.778,6.893,7.061,7.334,7.602,8.012,8.546,9.196,9.955,10.649,11.509,11.939,11.572,10.652,9.708,9.105,8.665,8.632,8.594,8.618,8.462,8.231,7.783,7.358,7.058,7.092,7.017,6.837,6.623,6.557,6.367,6.09,5.868,5.824,5.935,6.098,6.372,6.702,6.991,7.161,7.21,7.255,7.25,7.2,7.14,7.131,7.121,6.728,6.28,6.263,6.603,6.461,6.004,5.917,6.267,6.538,6.598,6.598,6.538,6.267,5.917
12.965,13.072,12.935,12.889,12.889,12.935,13.072,12.965,12.702,12.277,11.989,11.549,11.215,10.824,10.598,10.335,10.15,9.829,9.383,8.942,8.712,8.511,8.074,7.712,7.654,7.713,7.331,6.85,6.52,6.442,6.19,6.033,6.169,6.533,6.81,6.914,6.856,6.698,6.522,6.456,6.403,6.404,6.471,6.612,6.719,6.733,6.744,6.778,6.893,7.061,7.334,7.602,8.012,8.546,9.196,9.955,10.649,11.509,11.939,11.572,10.652,9.708,9.105,8.665,8.632,8.594,8.618,8.462,8.231,7.783,7.358,7.058,7.092,7.017,6.837,6.623,6.557,6.367,6.09,5.868,5.824,5.935,6.098,6.372,6.702,6.991,7.161,7.21,7.255,7.25,7.2,7.14,7.131,7.121,6.728,6.28,6.263,6.603,6.461,6.004,5.917,6.267,6.538,6.598,6.598,6.538,6.267,5.917
12.763,12.845,12.772,12.763,12.763,12.772,12.845,12.763,12.619,12.266,11.926,11.5,11.284,10.987,10.785,10.427,10.024,9.596,9.34,9.066,8.682,8.317,8.026,7.877,7.795,7.741,7.415,7.046,6.69,6.515,6.227,6.087,6.275,6.688,6.841,6.724,6.624,6.62,6.543,6.451,6.398,6.452,6.513,6.556,6.626,6.724,6.808,6.841,6.905,6.997,7.201,7.429,7.88,8.553,9.339,10.121,10.751,11.528,11.895,11.554,10.702,9.705,9.01,8.626,8.731,8.723,8.675,8.469,8.232,7.792,7.387,7.096,7.12,7.035,6.853,6.621,6.509,6.339,6.178,6.015,5.892,5.91,6.067,6.363,6.695,6.983,7.155,7.213,7.287,7.302,7.221,7.112,7.082,7.073,6.652,6.183,6.243,6.702,6.591,6.075,6.007,6.448,6.681,6.579,6.579,6.681,6.448,6.007
12.399,12.437,12.478,12.533,12.533,12.478,12.437,12.399,12.465,12.232,11.801,11.397,11.386,11.258,11.101,10.581,9.789,9.17,9.247,9.268,8.615,7.964,7.927,8.147,8.026,7.776,7.549,7.37,6.97,6.627,6.272,6.162,6.444,6.948,6.882,6.38,6.203,6.472,6.564,6.428,6.379,6.522,6.569,6.446,6.45,6.695,6.906,6.939,6.914,6.874,6.96,7.119,7.636,8.56,9.587,10.405,10.916,11.552,11.81,11.511,10.772,9.683,8.831,8.547,8.892,8.936,8.763,8.473,8.224,7.796,7.422,7.148,7.157,7.055,6.872,6.608,6.412,6.273,6.316,6.26,5.997,5.854,6.002,6.335,6.671,6.958,7.134,7.208,7.332,7.38,7.25,7.054,6.984,6.977,6.506,6.0,6.194,6.865,6.809,6.187,6.156,6.756,6.926,6.541,6.541,6.926,6.756,6.156
12.126,12.117,12.182,12.246,12.246,12.182,12.117,12.126,12.284,12.209,11.94,11.585,11.459,11.171,10.89,10.383,9.791,9.346,9.407,9.343,8.632,7.987,8.076,8.411,8.215,7.84,7.668,7.623,7.227,6.815,6.463,6.39,6.632,7.052,6.924,6.408,6.252,6.565,6.67,6.499,6.455,6.658,6.72,6.533,6.496,6.764,7.017,7.095,7.049,6.888,6.884,7.116,7.668,8.377,9.24,10.273,11.077,11.626,11.674,11.555,11.128,10.017,8.939,8.592,8.998,9.023,8.781,8.45,8.208,7.848,7.574,7.325,7.263,7.082,6.854,6.619,6.521,6.478,6.561,6.473,6.103,5.874,6.048,6.413,6.698,6.93,7.116,7.229,7.368,7.412,7.245,7.01,6.945,6.976,6.563,6.1,6.245,6.819,6.784,6.275,6.195,6.611,6.667,6.308,6.308,6.667,6.611,6.195
12.098,12.067,12.031,12.04,12.04,12.031,12.067,12.098,12.155,12.199,12.329,12.025,11.424,10.641,10.105,9.831,10.041,10.122,9.754,9.185,8.689,8.392,8.391,8.48,8.205,7.845,7.652,7.601,7.266,6.936,6.66,6.605,6.667,6.847,6.876,6.793,6.768,6.843,6.77,6.594,6.557,6.762,6.867,6.77,6.745,6.89,7.072,7.226,7.252,7.049,7.035,7.461,7.98,8.035,8.345,9.708,11.154,11.726,11.538,11.663,11.623,10.58,9.307,8.732,8.96,8.891,8.679,8.382,8.17,7.909,7.754,7.523,7.358,7.064,6.764,6.616,6.79,6.876,6.783,6.503,6.112,5.931,6.167,6.551,6.746,6.886,7.087,7.249,7.363,7.359,7.182,6.974,6.958,7.054,6.798,6.453,6.362,6.529,6.468,6.268,6.062,5.983,5.926,5.944,5.944,5.926,5.983,6.062
11.918,11.845,11.739,11.705,11.705,11.739,11.845,11.918,11.951,12.011,12.202,11.971,11.43,10.621,9.905,9.645,10.222,10.553,9.958,9.175,8.91,8.879,8.778,8.657,8.386,8.122,7.906,7.798,7.506,7.271,7.111,7.127,7.092,7.094,7.22,7.428,7.436,7.272,7.032,6.869,6.807,6.929,7.028,7.058,7.036,6.979,7.002,7.188,7.267,7.022,7.026,7.664,8.252,7.944,7.859,9.249,10.932,11.567,11.385,11.676,11.816,10.873,9.577,8.874,8.942,8.814,8.657,8.376,8.14,7.938,7.899,7.735,7.548,7.208,6.864,6.716,6.959,7.072,6.912,6.596,6.266,6.132,6.337,6.654,6.795,6.897,7.082,7.232,7.273,7.219,7.114,7.035,7.092,7.201,7.018,6.718,6.422,6.282,6.193,6.217,5.953,5.562,5.452,5.738,5.738,5.452,5.562,5.953
